splitr_count	splitr_span_pvalue	splitr_pos_pvalue	splitr_min_pvalue	adjacent	altsplice	break_adj_entropy1	break_adj_entropy2	break_adj_entropy_min	break_predict	breakpoint_homology	breakseqs_estislands_percident	cdna_breakseqs_percident	coding1	coding2	concordant_ratio	deletion	downstream1	downstream2	est_breakseqs_percident	eversion	exonboundaries	exonic1	exonic2	expression1	expression2	gene_align_strand1	gene_align_strand2	genome_breakseqs_percident	interchromosomal	interrupted_index1	interrupted_index2	intronic1	intronic2	inversion	max_map_count	max_repeat_proportion	mean_map_count	min_map_count	num_multi_map	num_splice_variants	orf	read_through	repeat_proportion1	repeat_proportion2	span_count	span_coverage1	span_coverage2	span_coverage_max	span_coverage_min	splice_score	splicing_index1	splicing_index2	upstream1	upstream2	utr3p1	utr3p2	utr3pexchange	utr5p1	utr5p2	utr5pexchange	validated
5	0.01011642	0.0413457	0.08161071	N	N	3.559764773	3.696320977	3.559764773	splitr	0	0.646153846	2.22E-16	N	N	0	N	N	N	0.261538462	N	N	Y	N	1667	0	-	+	0	Y	1	1	N	Y	N	5	1	2.6	2	5	1	N	N	0	1	5	0.515844614	0.311906046	0.515844614	0.311906046	2	0	0	N	N	N	N	N	Y	N	N	N
224	7.27E-06	0.002000728	0.01039347	N	N	3.636587795	3.315292546	3.315292546	splitr	1	0	0	N	N	0.8	N	N	N	0	N	N	N	N	198	603	+	+	0	Y	1	1	Y	Y	N	2	0	1.25	1	5	2	N	N	0	0	20	1.031573797	0.807613696	1.031573797	0.807613696	2	0	0	N	N	N	N	N	N	N	N	N
6	0.712515	0.1945594	0.6337462	N	N	2.030218416	1.787310279	1.787310279	splitr	13	1.11E-16	1.11E-16	N	N	0	N	N	N	0.14	N	N	N	Y	2000	3088	+	+	1.11E-16	Y	1	1	Y	N	N	49	0.526315789	30.4	3	5	1	N	N	0.526315789	0	5	0.257893449	0.610800275	0.610800275	0.257893449	2	0	0	N	N	N	Y	N	N	N	N	N
2	2.11E-10	0.04620564	0.02756201	N	N	3.145746806	3.257816266	3.145746806	splitr	0	0	0	N	N	0	N	N	N	0	N	N	N	Y	2771	12729	+	+	0	Y	1	1	Y	N	N	5	0.535714286	1.8	1	3	1	N	N	0.535714286	0	10	0.279956617	0.554914009	0.554914009	0.279956617	2	0	0	N	N	N	Y	N	N	N	N	N
5	0.000856607	0.01668499	0.02065317	N	N	3.511043375	3.580648446	3.511043375	splitr	202	0.479532164	0.456140351	Y	Y	0.8	N	N	N	0.660818713	N	N	Y	Y	22	2626	-	+	0.479532164	Y	1	1	N	N	N	4	0	2.8	2	5	1	Y	N	0	0	5	0.794876824	0.699891544	0.794876824	0.699891544	2	0	0	N	N	N	N	N	N	N	N	N
6	0.814232	0.4537984	0.5	N	N	3.361917299	3.467209889	3.361917299	splitr	3	0	0.014492754	Y	Y	0	N	N	N	0.014492754	N	Y	Y	Y	2801	537	+	-	0	Y	1	1	N	N	N	2	0	1.642857143	1	9	1	Y	N	0	0	14	1.221020264	1.013187027	1.221020264	1.013187027	4	0	0	N	N	N	N	N	N	N	N	Y
11	1	0.5500209	0.854539	N	N	3.585275239	3.454008175	3.454008175	splitr	2	0	0	N	Y	0	N	N	N	0	Y	Y	Y	Y	3960	593	+	-	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	7	0.722220496	0.675458018	0.722220496	0.675458018	4	0	0	N	N	N	N	N	Y	N	N	Y
5	0.7482528	0.9583997	0.5954414	N	N	3.520390246	3.271923069	3.271923069	splitr	2	0.005291005	0	Y	Y	0	N	N	N	0	N	Y	Y	Y	976	856	+	-	0	Y	1	1	N	N	N	2	0	1.142857143	1	1	1	Y	N	0	0	7	1.018382858	0.841724607	1.018382858	0.841724607	4	0	0	N	N	N	N	N	N	N	N	Y
4	0.3925079	0.8207635	0.6826124	N	N	3.295999237	3.648094092	3.295999237	splitr	1	0	0.00591716	Y	N	0	N	N	N	0	Y	N	Y	N	81	2825	-	+	0	N	1	1	N	N	N	1	0.452380952	1	1	0	3	N	N	0	0.452380952	12	1.244493192	0.839658057	1.244493192	0.839658057	4	0	0	N	Y	N	N	N	N	N	N	Y
7	1.38E-07	0.02794681	0.04300649	N	N	3.429362945	3.501034156	3.429362945	splitr	105	0.009661836	1.11E-16	N	Y	0.857142857	N	N	N	0.115942029	N	N	N	Y	2518	9504	+	+	0.009661836	Y	1	1	Y	N	N	6	0	2.357142857	1	11	1	N	N	0	0	14	0.579763897	0.949613279	0.949613279	0.579763897	3	0	0	N	N	N	Y	N	N	N	N	N
6	0.8403352	0.6388666	0.2040492	N	N	3.531432534	3.542969336	3.531432534	splitr	3	0.009803922	0	N	N	0	N	N	N	0.019607843	Y	Y	Y	Y	1	367	-	+	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	8	0.490559597	0.549426748	0.549426748	0.490559597	4	0	0	N	N	Y	N	N	N	Y	N	Y
24	0.06607887	0.01692119	0.01311427	N	N	2.810477893	3.418448638	2.810477893	splitr	4	0.028985507	0	N	N	0	N	N	N	0.036231884	N	N	N	N	562	61	+	-	0.028985507	Y	1	1	Y	Y	N	3	0	1.555555556	1	4	2	N	N	0	0	9	0.483986229	0.882563123	0.882563123	0.483986229	1	0	0	N	N	N	N	N	N	N	N	N
5	2.68E-05	0.03048981	0.02015486	N	N	3.275516791	3.498968017	3.275516791	splitr	11	0	0	N	N	0	N	N	N	0	N	N	N	Y	514	209	+	-	0	Y	1	1	Y	N	N	1	0.5	1	1	0	1	N	N	0.5	0	5	0.21125411	0.21125411	0.21125411	0.21125411	1	0	0	N	N	N	Y	N	N	N	N	N
8	0.7385265	0.038471	0.04522998	N	N	3.591690734	3.719765303	3.591690734	splitr	0	0	0	N	Y	0	N	N	N	0.03968254	N	N	Y	Y	13894	252	+	+	0	Y	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	5	0.21125411	0.21125411	0.21125411	0.21125411	1	0	0	N	N	Y	N	N	N	N	N	N
13	0.6765673	0.7186881	0.3400567	N	N	3.505250374	3.248478742	3.248478742	splitr	1	0	0	Y	Y	0	N	N	N	0	Y	Y	Y	Y	930	1111	-	+	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	42	1.320691932	1.224291061	1.320691932	1.224291061	4	0	0	N	N	N	N	N	N	N	N	N
9	0.7561568	0.8872306	0.4788712	N	N	3.548682632	3.441438303	3.441438303	splitr	5	0.01	0.005	Y	Y	0	N	N	N	0.01	Y	Y	Y	Y	1198	188	+	-	0.01	N	1	1	N	N	N	2	0	1.15	1	3	1	N	N	0	0	20	0.959188666	1.084509798	1.084509798	0.959188666	4	0	0	N	N	N	N	N	N	N	N	N
17	0.2767981	0.3509387	0.5229183	N	N	2.962164621	1.510364711	1.510364711	splitr	0	0	0	N	N	0	N	N	N	0	N	N	N	N	1546	51	-	+	0	Y	1	1	Y	N	N	44	1	33.2	14	5	1	N	N	1	1	5	0.455386258	0.281905778	0.455386258	0.281905778	2	0	0	N	N	N	N	N	N	N	N	N
4	0.498786	0.5451764	0.8895492	N	N	3.340401784	3.600004536	3.340401784	splitr	5	0	0	N	N	0	N	N	N	0	N	N	N	Y	132	1389	-	+	0	Y	1	1	Y	N	N	1	0	1	1	0	1	N	N	0	0	10	0.793673192	0.837043311	0.837043311	0.793673192	3	0	0	N	N	N	Y	N	N	N	N	N
11	0.8888183	0.834045	0.3471482	N	N	3.467209889	3.550788624	3.467209889	splitr	0	0.008510638	1.11E-16	Y	Y	0	N	N	N	0	N	Y	Y	Y	6392	6061	+	-	0.008510638	N	1	1	N	N	Y	1	0	1	1	0	1	Y	N	0	0	48	1.101589724	1.318220339	1.318220339	1.101589724	4	0	0	N	N	N	N	N	Y	N	N	Y
57	0.3141659	0.003252147	0.00516522	N	N	3.29081515	3.526805742	3.29081515	splitr	0	0	0	Y	N	0	N	N	N	0	N	N	Y	N	60505	557	-	+	0	Y	1	1	N	Y	N	1	0	1	1	0	1	N	N	0	0	5	0.691374304	0.530053633	0.691374304	0.530053633	2	0	0	N	N	N	N	N	N	N	N	N
5	0.6332173	0.5164531	0.3891215	Y	N	3.32320512	3.175279948	3.175279948	splitr	1	0	0	N	N	0	N	N	N	0	Y	N	N	N	164	93	-	+	0	N	1	1	Y	Y	N	1	0.323699422	1	1	0	3	N	N	0.323699422	0.022026432	10	0.79738503	0.935659891	0.935659891	0.79738503	2	0	0	N	N	N	N	N	N	N	N	Y
2	0.000313126	0.05466381	0.03193736	N	N	3.393843261	3.646566509	3.393843261	splitr	5	0	0	N	N	0	N	N	N	0.038461538	N	N	Y	N	12	1440	+	+	0	N	1	1	N	Y	Y	4	0	3.666666667	2	6	1	N	N	0	0	6	0.571536091	0.640673522	0.640673522	0.571536091	2	0	0	N	N	N	N	N	Y	N	N	N
2	1	0.847098	0.897853	N	N	3.053191922	2.945907741	2.945907741	splitr	9	0	0	N	N	1	N	N	N	0	N	N	N	N	11	114	+	-	0	N	1	1	Y	Y	Y	1	0	1	1	0	1	N	N	0	0	11	0.475727012	0.64006907	0.64006907	0.475727012	3	0	0	N	N	N	N	N	N	N	N	N
4	0.9432646	0.01258949	0.00547574	N	N	3.393843261	3.535688605	3.393843261	splitr	4	0	0	Y	N	0	N	N	N	0	N	N	Y	N	12	999	+	+	0	N	1	1	Y	Y	Y	4	0	3.384615385	2	13	1	N	N	0	0	13	0.80873592	0.877932576	0.877932576	0.80873592	1	0	0	N	N	N	N	N	Y	N	N	N
3	6.47E-10	0.03391782	0.02438759	N	N	1.92509366	2.920861283	1.92509366	splitr	6	0.107142857	0.107142857	N	N	0	N	N	N	0.107142857	N	N	N	N	856	383	-	+	0.107142857	Y	1	1	N	Y	N	25	0.568627451	16.2	4	5	1	N	N	0.568627451	0	5	0.220564342	0.272461834	0.272461834	0.220564342	2	0	0	Y	N	N	N	N	N	N	N	N
11	2.24E-05	0.01748486	0.0139853	N	N	2.630419073	3.336808061	2.630419073	splitr	7	0	0	N	N	0	N	N	N	0	N	N	Y	N	3018	115	+	+	0	Y	1	1	N	Y	N	2	0.119047619	2	2	6	1	N	N	0	0.119047619	6	0.200758516	0.187374615	0.200758516	0.187374615	2	0	0	N	N	Y	N	N	N	N	N	N
3	0.000102372	0.07088376	0.06185301	N	N	3.505922069	3.584242169	3.505922069	splitr	6	1.11E-16	1.11E-16	N	N	0	N	N	N	1.11E-16	N	N	N	Y	1042	965	+	+	1.11E-16	Y	1	1	Y	N	N	672	1	404.6	182	5	1	N	N	1	1	5	0.187374615	0.187374615	0.187374615	0.187374615	1	0	0	N	N	N	Y	N	N	N	N	N
4	0.1022126	0.03415451	0.0207951	N	N	3.233674897	2.867410459	2.867410459	splitr	5	0	0	N	N	0	N	N	N	0	N	N	Y	N	747	1809	+	+	0	Y	1	1	N	Y	N	1	0	1	1	0	1	N	N	0	0	5	0.187374615	0.187374615	0.187374615	0.187374615	2	0	0	N	N	Y	N	N	N	N	N	N
7	3.01E-39	0.02020121	0.01295157	N	N	3.662730103	3.562325426	3.562325426	splitr	0	0	0	N	N	0	N	N	N	0	Y	N	Y	N	2249	912	+	-	0	N	1	1	N	Y	N	1	0	1	1	0	1	N	N	0	0	5	0.187374615	0.187374615	0.187374615	0.187374615	3	0	0	N	N	Y	N	N	N	N	N	N
3	0.1169463	0.6409926	0.8851894	N	N	2.872139885	3.171478539	2.872139885	splitr	0	1.11E-16	0	N	N	0	N	N	N	1.11E-16	N	N	N	N	1819	2514	-	+	1.11E-16	Y	1	1	Y	Y	N	1	0	1	1	0	1	N	N	0	0	5	0.187374615	0.187374615	0.187374615	0.187374615	1	0	0	N	N	N	N	N	N	N	N	N
1	0.000868598	0.7250141	0.7882539	N	N	3.503193582	3.029169187	3.029169187	splitr	6	1.11E-16	0	N	N	0	N	N	N	0	N	N	N	N	74	125	-	+	1.11E-16	Y	1	1	Y	N	N	2	1	2	2	5	1	N	N	0	1	5	0.187374615	0.187374615	0.187374615	0.187374615	2	0	0	N	Y	N	N	N	N	N	N	N
92	1.43E-05	0.02386028	0.04686226	N	N	3.513771862	3.431429085	3.431429085	splitr	0	1.11E-16	0	N	N	0.75	N	N	N	0.44	N	N	N	N	34	133	+	+	1.11E-16	Y	1	1	Y	Y	N	6	0	1.766666667	1	38	2	N	N	0	0	60	0.771804962	0.62458205	0.771804962	0.62458205	2	0	0	N	N	N	N	N	N	N	N	N
4	6.47E-05	0.3347661	0.6292617	N	N	2.693184493	2.796835099	2.693184493	splitr	0	0	0	N	N	0	N	N	N	0	N	N	N	N	399	1082	+	+	0	Y	1	1	Y	Y	N	34	1	10	3	5	1	N	N	0.333333333	1	5	0.187374615	0.187374615	0.187374615	0.187374615	2	0	0	N	N	N	N	N	N	N	N	N
5	0.2176562	0.05396131	0.06116168	N	N	3.133176934	3.22423474	3.133176934	splitr	12	0.039215686	0	N	N	0.4	N	N	N	0.137254902	N	N	N	Y	4	4855	+	+	0.039215686	Y	1	1	Y	N	N	10	0	8.4	7	5	1	N	N	0	0	5	0.196297216	0.281061923	0.281061923	0.196297216	1	0	0	N	N	N	Y	N	N	N	N	N
10	1.51E-06	0.1612678	0.5064767	N	N	3.364645786	2.984713206	2.984713206	splitr	7	0	0	N	N	0.96	N	N	N	0	N	N	N	N	5	165	-	+	0	N	1	1	Y	Y	Y	1	0	1	1	0	1	N	N	0	0	25	0.361049851	0.879331088	0.879331088	0.361049851	1	0	0	N	N	N	N	N	N	N	N	N
6	0.7613383	0.8226371	0.4446009	N	N	3.197156838	3.623987418	3.197156838	splitr	5	0.041666667	0.052083333	Y	Y	0	N	N	N	0.052083333	N	Y	Y	Y	2700	766	-	+	0.041666667	Y	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	10	0.494987698	0.692982778	0.692982778	0.494987698	4	0	0	N	N	N	N	N	N	N	N	Y
40	1.50E-12	0.003390857	0.007798974	N	N	3.51675667	3.541441753	3.51675667	splitr	1	0	0	N	N	0	N	Y	N	0	N	N	N	Y	299	163560	-	-	0	Y	1	1	N	N	N	5	0	2.714285714	2	7	1	N	N	0	0	7	0.518281237	0.663865854	0.663865854	0.518281237	2	0	0	N	N	N	Y	N	N	N	N	N
15	0.00566524	0.01541196	0.0519852	N	N	3.649127162	3.477620335	3.477620335	splitr	109	0.44516129	0.4	N	Y	1	N	N	N	0.490322581	N	N	N	Y	0	10639	+	+	0.44516129	Y	1	1	N	N	N	5	0	3.333333333	2	6	1	N	N	0	0	6	0.331932927	0.419283697	0.419283697	0.331932927	1	0	0	Y	N	N	Y	N	N	N	N	N
26	0.01660381	0.006269107	0.01790225	N	N	3.495281008	3.538713266	3.495281008	splitr	1	0.010638298	0	Y	N	0	N	N	N	0	N	N	Y	N	36269	69	-	+	0.010638298	Y	1	1	N	Y	N	1	0	1	1	0	1	N	N	0	0	11	0.937564934	0.890977857	0.937564934	0.890977857	2	0	0	N	N	N	N	N	N	N	N	N
11	1	0.8427436	0.7538375	Y	N	3.227427235	3.312330665	3.227427235	splitr	4	0	0	Y	Y	0	N	N	N	0	N	Y	Y	Y	263820	23672	+	-	0	N	1	1	N	N	Y	1	0	1	1	0	2	Y	N	0	0	25	0.623102161	1.024915705	1.024915705	0.623102161	4	0	0	N	N	N	N	N	N	N	N	Y
8	1	0.07398863	0.2620567	N	N	3.607854329	3.562325426	3.562325426	splitr	1	0	0	Y	Y	0	N	N	N	0.109375	N	N	Y	Y	8459	7454	-	-	0	Y	1	1	N	N	N	10	0	4	1	4	1	N	N	0	0	6	0.520112125	0.60417065	0.60417065	0.520112125	2	0	0	N	N	N	N	N	Y	N	N	N
11	1	0.7287863	0.24815	N	N	3.238469524	3.021265961	3.021265961	splitr	2	0	0	Y	Y	0	N	N	N	0	Y	Y	Y	Y	943	137	+	-	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	20	1.174933574	1.117619741	1.174933574	1.117619741	4	0	0	N	N	N	N	N	N	Y	N	Y
3	1	0.1549182	0.3044959	N	N	3.582714586	3.34256121	3.34256121	splitr	3	0	0	N	N	0	N	N	N	0	N	N	N	N	9780	1125	+	+	0	Y	1	1	Y	Y	N	1	0	1	1	0	1	N	N	0	0	34	0.945678242	0.968603775	0.968603775	0.945678242	2	0	0	N	N	N	N	N	N	N	N	Y
8	1	0.8511406	0.5606074	N	N	3.390156252	3.550819129	3.390156252	splitr	5	0.011695906	0.011695906	Y	Y	0	N	N	N	0.011695906	N	Y	Y	Y	1196	851	-	+	0.011695906	Y	1	1	N	N	N	1	0	1	1	0	1	Y	N	0	0	15	0.991529308	1.066037291	1.066037291	0.991529308	4	0	0	N	N	N	Y	N	N	N	N	Y
7	1	0.9031122	0.6266968	N	N	3.403357966	3.32952733	3.32952733	splitr	3	0.016393443	0	Y	N	0	N	N	N	0	N	Y	Y	Y	632	740	-	+	0.016393443	Y	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	27	1.043111758	1.077500058	1.077500058	1.043111758	4	0	0	N	N	N	N	N	N	Y	N	Y
19	0.9483206	0.7511786	0.8190786	N	N	3.343594279	3.132726506	3.132726506	splitr	5	0.014634146	0.014634146	Y	Y	0	N	N	N	0.014634146	Y	Y	Y	Y	1521	1705	-	+	0.014634146	N	1	1	N	N	N	1	0	1	1	0	2	N	N	0	0	53	1.054990858	1.007253715	1.054990858	1.007253715	4	0	0	N	N	N	N	N	Y	N	N	Y
6	0.8870718	0.9971652	0.7808194	N	N	3.71720465	3.459761323	3.459761323	splitr	8	0.054421769	0.020408163	Y	N	0	N	N	N	0.020408163	Y	Y	Y	Y	1681	1292	-	+	0.054421769	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	59	0.954742858	0.606261715	0.954742858	0.606261715	4	0	0	N	N	N	N	N	N	Y	N	Y
27	0.2100913	0.01724018	0.03236899	N	Y	2.9976538	2.691647562	2.691647562	splitr	3	0	0	N	N	0	N	N	N	0	N	N	N	N	258	120	-	+	0	Y	1	1	Y	Y	N	1	0	1	1	0	1	N	N	0	0	5	0.324612572	0.491692572	0.491692572	0.324612572	1	0	0	N	N	N	N	N	N	N	N	N
11	0.6715362	0.532668	0.7999521	N	N	3.602565189	3.59784511	3.59784511	splitr	6	0.010050251	0.025125628	Y	Y	0	N	N	N	0.025125628	N	Y	Y	Y	33	943	-	+	0.010050251	Y	1	1	N	N	N	2	0	1.296296296	1	8	2	Y	N	0	0	27	1.217297144	0.949969143	1.217297144	0.949969143	4	0	0	N	N	Y	N	N	N	N	N	Y
